backend_id	model_id	tier	display_name	enabled	auto_assign	bucket
cursor	cursor-grok-4.6-high	tier-1	Cursor Grok 4.6	true	false	included
cursor	cursor-grok-4.6-high-fast	tier-1	Cursor Grok 4.6 Fast	true	true	included
cursor	cursor-grok-4.6-xhigh	tier-1	Cursor Grok 4.6 Extra High	true	false	included
cursor	cursor-grok-4.6-xhigh-fast	tier-1	Cursor Grok 4.6 Extra High Fast	true	false	included
cursor	claude-4.6-opus-high	tier-1	Claude Opus 4.6 1M	true	false	api
cursor	claude-4.6-opus-high-thinking	tier-1	Claude Opus 4.6 1M Thinking	true	false	api
cursor	claude-4.6-opus-max	tier-1	Claude Opus 4.6 1M Max	true	false	api
cursor	claude-4.6-opus-max-thinking	tier-1	Claude Opus 4.6 1M Max Thinking	true	false	api
cursor	claude-fable-5-1-thinking-high	tier-1	Claude Fable 5.1 1M Thinking (NO ZDR)	true	false	api
cursor	claude-fable-5-1-thinking-max	tier-1	Claude Fable 5.1 1M Max Thinking (NO ZDR)	true	false	api
cursor	claude-fable-5-1-thinking-xhigh	tier-1	Claude Fable 5.1 1M Extra High Thinking (NO ZDR)	true	false	api
cursor	claude-fable-5-thinking-high	tier-1	Claude Fable 5 1M Thinking (NO ZDR)	true	false	api
cursor	claude-fable-5-thinking-max	tier-1	Claude Fable 5 1M Max Thinking (NO ZDR)	true	false	api
cursor	claude-fable-5-thinking-xhigh	tier-1	Claude Fable 5 1M Extra High Thinking (NO ZDR)	true	false	api
cursor	claude-opus-4-7-high	tier-1	Claude Opus 4.7 1M High	true	false	api
cursor	claude-opus-4-7-high-fast	tier-1	Claude Opus 4.7 1M High Fast	true	false	api
cursor	claude-opus-4-7-max	tier-1	Claude Opus 4.7 1M Max	true	false	api
cursor	claude-opus-4-7-max-fast	tier-1	Claude Opus 4.7 1M Max Fast	true	false	api
cursor	claude-opus-4-7-thinking-high	tier-1	Claude Opus 4.7 1M High Thinking	true	false	api
cursor	claude-opus-4-7-thinking-high-fast	tier-1	Claude Opus 4.7 1M High Thinking Fast	true	false	api
cursor	claude-opus-4-7-thinking-max	tier-1	Claude Opus 4.7 1M Max Thinking	true	false	api
cursor	claude-opus-4-7-thinking-max-fast	tier-1	Claude Opus 4.7 1M Max Thinking Fast	true	false	api
cursor	claude-opus-4-7-thinking-xhigh	tier-1	Claude Opus 4.7 1M Thinking	true	false	api
cursor	claude-opus-4-7-thinking-xhigh-fast	tier-1	Claude Opus 4.7 1M Thinking Fast	true	false	api
cursor	claude-opus-4-7-xhigh	tier-1	Claude Opus 4.7 1M	true	false	api
cursor	claude-opus-4-7-xhigh-fast	tier-1	Claude Opus 4.7 1M Fast	true	false	api
cursor	claude-opus-4-8-high	tier-1	Claude Opus 4.8 1M	true	false	api
cursor	claude-opus-4-8-high-fast	tier-1	Claude Opus 4.8 1M Fast	true	false	api
cursor	claude-opus-4-8-max	tier-1	Claude Opus 4.8 1M Max	true	false	api
cursor	claude-opus-4-8-max-fast	tier-1	Claude Opus 4.8 1M Max Fast	true	false	api
cursor	claude-opus-4-8-thinking-high	tier-1	Claude Opus 4.8 1M Thinking	true	false	api
cursor	claude-opus-4-8-thinking-high-fast	tier-1	Claude Opus 4.8 1M Thinking Fast	true	false	api
cursor	claude-opus-4-8-thinking-max	tier-1	Claude Opus 4.8 1M Max Thinking	true	false	api
cursor	claude-opus-4-8-thinking-max-fast	tier-1	Claude Opus 4.8 1M Max Thinking Fast	true	false	api
cursor	claude-opus-4-8-thinking-xhigh	tier-1	Claude Opus 4.8 1M Extra High Thinking	true	false	api
cursor	claude-opus-4-8-thinking-xhigh-fast	tier-1	Claude Opus 4.8 1M Extra High Thinking Fast	true	false	api
cursor	claude-opus-4-8-xhigh	tier-1	Claude Opus 4.8 1M Extra High	true	false	api
cursor	claude-opus-4-8-xhigh-fast	tier-1	Claude Opus 4.8 1M Extra High Fast	true	false	api
cursor	claude-opus-5-high	tier-1	Claude Opus 5 1M	true	false	api
cursor	claude-opus-5-high-fast	tier-1	Claude Opus 5 1M Fast	true	false	api
cursor	claude-opus-5-thinking-high	tier-1	Claude Opus 5 1M Thinking	true	true	api
cursor	claude-opus-5-thinking-high-fast	tier-1	Claude Opus 5 1M Thinking Fast	true	false	api
cursor	claude-opus-5-thinking-max	tier-1	Claude Opus 5 1M Max Thinking	true	false	api
cursor	claude-opus-5-thinking-max-fast	tier-1	Claude Opus 5 1M Max Thinking Fast	true	false	api
cursor	claude-opus-5-thinking-xhigh	tier-1	Claude Opus 5 1M Extra High Thinking	true	false	api
cursor	claude-opus-5-thinking-xhigh-fast	tier-1	Claude Opus 5 1M Extra High Thinking Fast	true	false	api
cursor	gpt-5.3-codex-xhigh	tier-1	Codex 5.3 Extra High	true	false	api
cursor	gpt-5.3-codex-xhigh-fast	tier-1	Codex 5.3 Extra High Fast	true	false	api
cursor	gpt-5.5-extra-high	tier-1	GPT-5.5 1M Extra High	true	false	api
cursor	gpt-5.5-extra-high-fast	tier-1	GPT-5.5 Extra High Fast	true	false	api
cursor	gpt-5.6-sol-max	tier-1	GPT-5.6 Sol 1M Max	true	false	api
cursor	gpt-5.6-sol-max-fast	tier-1	GPT-5.6 Sol Max Fast	true	false	api
cursor	gpt-5.6-sol-xhigh	tier-1	GPT-5.6 Sol 1M Extra High	true	false	api
cursor	gpt-5.6-sol-xhigh-fast	tier-1	GPT-5.6 Sol Extra High Fast	true	false	api
cursor	composer-2.5	tier-2	Composer 2.5	true	false	included
cursor	cursor-grok-4.5-high	tier-2	Cursor Grok 4.5	true	true	included
cursor	cursor-grok-4.5-high-fast	tier-2	Cursor Grok 4.5 Fast	true	false	included
